image,label,class
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (35).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (64).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (129).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (90).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (93).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (158).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (97).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (106).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (26).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (103).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (73).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (75).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (76).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (138).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (29).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (126).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (77).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (63).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (140).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (7).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (11).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (13).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (76).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (91).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (9).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (114).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (103).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (53).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (148).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (133).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (12).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (67).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (95).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (46).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (111).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (144).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (124).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (4).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (98).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (78).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (159).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (57).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (50).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (12).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (61).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (154).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (134).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (42).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (68).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (46).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (13).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (130).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (71).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (56).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (68).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (25).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (114).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (35).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (97).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (18).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (66).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (152).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (11).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (75).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (147).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (118).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (132).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (152).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (61).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (123).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (121).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (124).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (143).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (44).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (29).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (18).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (86).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (113).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (33).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (69).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (157).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (60).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (135).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (2).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (3).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (142).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (113).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (137).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (53).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (82).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (88).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (129).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (42).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (90).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (17).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (84).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (128).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (26).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (115).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (117).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (40).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (53).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (154).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (76).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (22).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (127).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (123).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (57).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (91).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (56).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (5).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (144).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (134).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (50).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (42).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (137).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (147)(1).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (29).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (47).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (141).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (31).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (2).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (101).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (17).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (155).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (97).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (96).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (7).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (71).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (89).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (144).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (45).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (21).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (150).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (20).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (31).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (59).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (124).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (69).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (109).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (160).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (23).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (23).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (69).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (122).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (119).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (6).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (10).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (13).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (50).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (103).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (30).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (142).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (91).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (33).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (125).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (46).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (108).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (20).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (10).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (128).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (64).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (99).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (24).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (25).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (55).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (40).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (8).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (1).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (23).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (37).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (48).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (49).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (51).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (5).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (140).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (59).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (2).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (157).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (144).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (99).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (67).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (100).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (11).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (103).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (87).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (146).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (64).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (120).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (99).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (113).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (43).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (128).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (79).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (127).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (136).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (80).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (106).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (115).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (12).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (14).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (20).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (79).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Pythium Fruit Rot/Pythium Fruit Rot  (45).jpg,7,Pythium Fruit Rot
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (41).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (74).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (156).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (145).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (98).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (143).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (98).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (91).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (129).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (97).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (103).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (35).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (158).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (77).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (63).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (4).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (148).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (72).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (106).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (132).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (117).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (52).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (5).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (29).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Fresh Cucumber/Fresh Cucumber (112).jpg,4,Fresh Cucumber
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (106).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (21).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (139).jpg,2,Belly Rot
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (48).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (83).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Gummy Stem Blight/Gummy Stem Blight (137).jpg,6,Gummy Stem Blight
/kaggle/input/cucumber-dataset/Original Image/Bacterial Wilt/Bacterial Wilt (67).jpg,1,Bacterial Wilt
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (48).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Fresh Leaf/Fresh Leaf (65).jpg,5,Fresh Leaf
/kaggle/input/cucumber-dataset/Original Image/Downy Mildew/Downy Mildew (66).jpg,3,Downy Mildew
/kaggle/input/cucumber-dataset/Original Image/Anthracnose/Anthracnose (100).jpg,0,Anthracnose
/kaggle/input/cucumber-dataset/Original Image/Belly Rot/Belly Rot (88).jpg,2,Belly Rot
